intern_id,task_completion_time_hrs,feedback_rating,attendance_percent,performance_score,performance_category
INT_00001,11.5,5.8,97.4,,Average
INT_00002,9.6,6.6,73.0,41.3,Struggle
INT_00003,,6.1,85.4,48.2,Average
INT_00004,14.6,6.7,87.7,41.0,Struggle
INT_00005,9.3,7.2,88.1,63.2,Average
INT_00006,9.3,8.8,89.4,69.2,Average
INT_00007,14.7,7.0,92.9,39.6,Struggle
INT_00008,12.3,5.1,87.7,32.8,Struggle
INT_00009,8.6,9.2,85.1,70.6,Average
INT_00010,11.6,6.2,84.7,53.4,Average
INT_00011,8.6,7.4,83.1,64.3,Average
INT_00012,8.6,8.2,94.3,79.9,Excel
INT_00013,10.7,7.8,82.8,66.6,Average
INT_00014,4.3,9.1,94.8,,Excel
INT_00015,4.8,8.2,88.2,74.6,Average
INT_00016,8.3,6.2,,49.7,Average
INT_00017,7.0,10.0,92.9,82.5,Excel
INT_00018,10.9,7.8,82.2,46.3,Average
INT_00019,7.3,7.3,93.1,66.7,Average
INT_00020,5.8,8.9,89.7,72.4,Average
INT_00021,14.4,7.9,83.2,50.3,Average
INT_00022,9.3,8.1,92.2,79.5,Excel
INT_00023,10.2,10.0,92.4,76.3,Excel
INT_00024,5.7,7.1,,72.0,Average
INT_00025,8.4,7.0,95.7,69.2,Average
INT_00026,10.3,7.7,91.9,64.0,Average
INT_00027,6.5,9.1,79.0,74.7,Average
INT_00028,11.1,5.2,100.0,46.3,Average
INT_00029,8.2,4.6,76.8,35.4,Struggle
INT_00030,9.1,6.6,95.6,54.3,Average
INT_00031,8.2,5.0,91.5,53.1,Average
INT_00032,15.6,6.9,78.6,28.8,Struggle
INT_00033,,8.3,87.0,69.9,Average
INT_00034,6.8,6.2,87.4,48.9,Average
INT_00035,12.5,5.4,98.4,50.9,Average
INT_00036,6.3,7.6,82.3,63.0,Average
INT_00037,10.6,8.8,85.9,59.4,Average
INT_00038,4.1,,69.3,47.1,Average
INT_00039,6.0,8.7,100.0,88.5,Excel
INT_00040,10.6,8.7,79.4,59.8,Average
INT_00041,12.2,8.9,90.6,70.5,Average
INT_00042,10.5,9.3,87.2,58.2,Average
INT_00043,9.7,10.0,87.2,70.1,Average
INT_00044,9.1,7.0,94.5,68.7,Average
INT_00045,5.6,7.7,100.0,75.6,Excel
INT_00046,7.8,6.9,90.0,50.7,Average
INT_00047,8.6,7.5,93.2,61.7,Average
INT_00048,,9.8,90.6,65.4,Average
INT_00049,11.0,5.5,96.1,47.2,Average
INT_00050,4.7,6.2,84.3,57.7,Average
INT_00051,11.0,9.6,96.6,77.9,Excel
INT_00052,8.8,9.0,96.9,77.4,Excel
INT_00053,8.0,7.0,96.7,72.6,Average
INT_00054,11.8,8.8,82.7,64.3,Average
INT_00055,13.1,8.0,86.7,58.6,Average
INT_00056,12.8,9.8,89.9,77.1,Excel
INT_00057,7.5,7.6,77.0,57.5,Average
INT_00058,9.1,9.0,100.0,72.0,Average
INT_00059,11.0,10.0,87.9,81.7,Excel
INT_00060,12.9,8.4,90.3,61.9,Average
INT_00061,8.6,7.6,83.4,61.5,Average
INT_00062,9.4,8.6,77.4,,Average
INT_00063,6.7,7.0,83.2,56.7,Average
INT_00064,6.4,10.0,89.8,,Excel
INT_00065,12.4,7.8,93.4,65.0,Average
INT_00066,14.1,7.1,89.3,53.5,Average
INT_00067,9.8,6.2,90.8,57.4,Average
INT_00068,13.0,9.1,85.3,66.6,Average
INT_00069,11.1,8.8,92.0,69.5,Average
INT_00070,8.1,6.8,99.9,64.2,Average
INT_00071,11.1,8.4,93.6,73.4,Average
INT_00072,14.6,5.2,,35.9,Struggle
INT_00073,9.9,7.8,90.4,65.3,Average
INT_00074,14.7,8.2,76.0,43.5,Struggle
INT_00075,2.1,10.0,79.6,85.2,Excel
INT_00076,12.5,6.3,91.6,47.3,Average
INT_00077,10.3,5.6,87.9,41.3,Struggle
INT_00078,9.1,6.2,91.5,58.7,Average
INT_00079,10.3,5.5,100.0,44.4,Struggle
INT_00080,4.0,,93.8,89.9,Excel
INT_00081,9.3,9.8,98.1,83.6,Excel
INT_00082,11.1,8.0,88.8,51.2,Average
INT_00083,14.4,9.3,81.5,57.2,Average
INT_00084,8.4,7.7,87.5,65.6,Average
INT_00085,,7.4,81.6,62.6,Average
INT_00086,8.5,7.0,100.0,65.0,Average
INT_00087,12.7,7.0,94.3,58.1,Average
INT_00088,,5.2,92.2,43.2,Struggle
INT_00089,8.4,7.9,97.9,71.4,Average
INT_00090,11.5,7.4,71.8,48.5,Average
INT_00091,10.3,8.6,92.7,74.7,Average
INT_00092,12.9,7.6,77.5,45.1,Average
INT_00093,7.9,7.3,87.9,59.7,Average
INT_00094,9.0,6.2,85.5,47.6,Average
INT_00095,,7.6,93.3,64.1,
INT_00096,5.6,8.6,89.8,85.6,Excel
INT_00097,10.9,5.8,98.8,55.1,Average
INT_00098,10.8,7.6,83.2,50.0,Average
INT_00099,10.0,7.8,93.7,62.0,Average
INT_00100,9.3,6.4,89.3,56.5,
INT_00101,5.8,6.6,74.9,50.1,Average
INT_00102,8.7,7.8,80.7,56.7,Average
INT_00103,9.0,5.8,86.8,56.9,Average
INT_00104,7.6,8.0,96.9,70.0,Average
INT_00105,9.5,,91.7,58.8,Average
INT_00106,11.2,9.1,78.7,70.1,
INT_00107,15.7,10.0,86.9,,Average
INT_00108,10.5,6.2,100.0,51.4,Average
INT_00109,10.8,8.3,,62.7,Average
INT_00110,9.8,6.4,85.4,45.1,Average
INT_00111,4.2,9.1,91.9,85.5,Excel
INT_00112,9.9,5.6,,49.0,Average
INT_00113,10.2,8.2,84.4,64.4,Average
INT_00114,17.4,6.2,92.0,45.2,Average
INT_00115,9.4,7.2,85.4,61.9,Average
INT_00116,10.9,6.0,93.8,53.0,Average
INT_00117,9.9,8.7,89.4,58.4,
INT_00118,6.5,6.2,,62.9,Average
INT_00119,13.4,8.3,81.9,64.6,Average
INT_00120,12.3,7.0,81.4,31.0,Struggle
INT_00121,12.4,7.3,95.6,61.6,Average
