Campaign_ID,Page_Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Previous Visits,Conversion Rate,Company,Campaign_Type,Target_Audience,Duration,channels,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,,Date,profit margin
1,3,11.05138124,0.230651937,Organic,3.89046007,3,1,Innovate Industries,Email,Men 18-24,30 days,Google Ads,0.04,"$16,174.00",5.43,Chicago,Spanish,506,1922,6,Health & Wellness,01/01/2021,Profit
2,5,3.429315699,0.391001334,Social,8.478174487,0,1,NexGen Systems,Email,Women 35-44,60 days,Google Ads,0.12,"$11,566.00",5.61,New York,German,116,7523,7,Fashionistas,02/01/2021,Profit
3,4,1.621052046,0.397986106,Organic,9.636169627,2,1,Alpha Innovations,Influencer,Men 25-34,30 days,YouTube,0.07,"$10,200.00",7.18,Los Angeles,French,584,7698,1,Outdoor Adventurers,03/01/2021,Profit
4,4,3.629278955,0.180457685,Organic,2.071924676,3,1,DataTech Solutions,Display,All Ages,60 days,YouTube,0.11,"$12,724.00",5.55,Miami,Mandarin,217,1820,7,Health & Wellness,04/01/2021,Profit
5,5,4.235843279,0.291540874,Paid,1.96065383,5,1,NexGen Systems,Email,Men 25-34,15 days,YouTube,0.05,"$16,452.00",6.5,Los Angeles,Mandarin,379,4201,3,Health & Wellness,05/01/2021,Profit
6,5,4.54186782,0.420740049,Social,3.438711548,2,1,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,"$9,716.00",4.36,New York,German,100,1643,1,Foodies,06/01/2021,Loss
7,3,1.949558016,0.034978157,Social,2.119271472,1,1,NexGen Systems,Email,Women 35-44,60 days,Website,0.13,"$11,067.00",2.86,Los Angeles,Spanish,817,8749,10,Tech Enthusiasts,07/01/2021,Loss
8,5,1.685739755,0.25234276,Paid,3.478015701,5,1,DataTech Solutions,Search,Men 18-24,45 days,Google Ads,0.08,"$13,280.00",5.55,Los Angeles,Mandarin,624,7854,7,Outdoor Adventurers,08/01/2021,Profit
9,4,0.033268033,0.120702771,Organic,5.28551908,1,1,Alpha Innovations,Social Media,Women 35-44,15 days,Facebook,0.09,"$18,066.00",6.73,Chicago,German,861,1754,6,Tech Enthusiasts,09/01/2021,Profit
10,6,7.833741755,0.212726886,Paid,4.060115223,5,1,TechCorp,Email,Women 35-44,15 days,Instagram,0.09,"$13,766.00",3.78,Los Angeles,English,642,3856,3,Tech Enthusiasts,10/01/2021,Loss
11,7,2.773784434,0.485767822,Direct,2.973652787,3,1,NexGen Systems,Display,Men 25-34,45 days,Email,0.12,"$8,590.00",3.49,New York,Spanish,321,6628,10,Tech Enthusiasts,11/01/2021,Loss
12,2,0.681281294,0.453890552,Referral,1.499008557,0,1,Innovate Industries,Influencer,Men 25-34,60 days,Google Ads,0.05,"$17,502.00",3.59,Los Angeles,Mandarin,659,8948,1,Foodies,12/01/2021,Loss
13,5,7.562350901,0.263551977,Social,9.688591918,0,1,TechCorp,Social Media,Men 25-34,60 days,Facebook,0.09,"$17,189.00",4.91,Chicago,Mandarin,677,8817,10,Tech Enthusiasts,13/01/2021,Loss
14,5,7.392909563,0.263335944,Paid,4.981015475,2,1,TechCorp,Email,Men 25-34,45 days,Instagram,0.14,"$9,975.00",7.06,New York,German,994,2201,4,Health & Wellness,14/01/2021,Profit
15,6,13.58023187,0.320588094,Paid,5.802188906,3,1,TechCorp,Display,All Ages,45 days,Website,0.04,"$11,346.00",5.28,Chicago,Spanish,482,8470,1,Outdoor Adventurers,15/01/2021,Profit
16,4,6.21576716,0.296641006,Paid,10.02890318,2,1,Innovate Industries,Social Media,Women 35-44,60 days,YouTube,0.11,"$9,407.00",2.91,New York,German,299,1512,5,Health & Wellness,16/01/2021,Loss
17,6,18.3366796,0.337694551,Referral,2.984756678,0,1,Innovate Industries,Display,Women 35-44,45 days,Website,0.08,"$5,478.00",4.53,Houston,English,931,2488,3,Fashionistas,17/01/2021,Loss
18,6,0.841865914,0.249316381,Social,8.30362448,1,1,Alpha Innovations,Influencer,Men 18-24,15 days,Instagram,0.14,"$9,485.00",4.48,Miami,French,218,9264,9,Health & Wellness,18/01/2021,Loss
19,1,5.540223444,0.256684547,Paid,8.793492245,3,1,Alpha Innovations,Social Media,Men 25-34,60 days,Google Ads,0.07,"$19,224.00",6.08,New York,French,182,5798,1,Foodies,19/01/2021,Profit
20,7,5.195296488,0.172977736,Paid,2.889980024,2,1,DataTech Solutions,Influencer,Men 25-34,15 days,Google Ads,0.09,"$10,258.00",3.83,Miami,French,193,3677,1,Tech Enthusiasts,20/01/2021,Loss
21,2,0.787760269,0.251640726,Organic,11.69293807,5,1,DataTech Solutions,Search,Women 25-34,15 days,Email,0.04,"$16,580.00",7.99,New York,Spanish,975,1561,3,Outdoor Adventurers,21/01/2021,Profit
22,11,0.310877893,0.644309989,Organic,4.164912574,4,1,TechCorp,Influencer,All Ages,30 days,Facebook,0.02,"$12,824.00",6.21,New York,French,319,8586,2,Foodies,22/01/2021,Profit
23,4,11.65038153,0.287329568,Direct,6.025224139,1,1,NexGen Systems,Social Media,Women 35-44,15 days,YouTube,0.13,"$8,699.00",2.12,Miami,French,646,3841,5,Health & Wellness,23/01/2021,Loss
24,3,1.053035393,0.183589716,Organic,3.72750665,2,1,Innovate Industries,Email,Women 25-34,15 days,Facebook,0.04,"$17,608.00",7.31,Miami,Spanish,764,2157,8,Health & Wellness,24/01/2021,Profit
